Date,Cumulative Refugees
6/30/2023,5890956
7/2/2023,5895755
7/3/2023,5896038
7/4/2023,5896699
7/6/2023,5897776
7/7/2023,5897887
7/9/2023,5905830
7/10/2023,5916853
7/11/2023,5886568
7/12/2023,5886832
7/13/2023,5885775
7/14/2023,5885874
7/15/2023,5886319
7/16/2023,5890939
7/17/2023,5893731
7/18/2023,5864900
7/20/2023,5849193
7/21/2023,5849318
7/23/2023,5855688
7/24/2023,5858117
7/25/2023,5855261
7/26/2023,5855903
7/27/2023,5856112
7/30/2023,5860119
7/31/2023,5861973
8/1/2023,5864483
8/3/2023,5864107
8/4/2023,5864256
8/6/2023,5871939
8/7/2023,5874064
8/8/2023,5874101
